,N61311_untrt,N61311_trt,N052611_untrt,N052611_trt,N080611_untrt,N080611_trt,N061011_untrt,N061011_trt,pval,padj
ENSG00000000003,9.39915441219212,9.14250012974337,9.50169200750057,9.32080471450696,9.75719388011592,9.51217946501987,9.61736731826821,9.31531809336998,0.0286524566388553,0.1392879675862
ENSG00000000419,8.90129264879283,9.11396887360173,9.03256607645315,9.0639217281223,8.98193346354633,9.10852451858668,8.8948402526678,9.05230016231824,0.0427553282949911,0.18302868921485
ENSG00000000457,7.9498881267861,7.8823718986462,7.83428134496966,7.91645418279275,7.77383658302859,7.88664482140233,7.94640214726497,7.90833491224655,0.787423750573727,0.930685655777132
ENSG00000000460,5.84951440828352,5.88234199781807,5.48711883628251,5.77036593397267,5.94035983919311,5.66393161247264,6.10761605489175,5.90779117233285,0.697350684338157,0.895615163629097
ENSG00000000971,11.9273618065066,12.1595140165196,12.3873257714725,12.5717434532272,12.4693998768747,12.7847289034342,12.4548915429862,12.855679889517,0.0885957933236214,0.299502822076904
ENSG00000001036,10.4049514897474,10.2471610900795,10.4514582579883,10.3451055092718,10.2659953286966,10.1153516600785,10.4556677229167,10.2384901454501,0.0431474619258289,0.18409523862347
ENSG00000001084,9.07233371844323,8.91284135324049,9.06752481577377,9.41880453716946,9.36724531967474,9.07787849688714,9.44524892798744,9.43186908585567,0.898238763815812,0.970666988557529
ENSG00000001167,8.55319009053293,8.21509741615862,8.57346686455841,8.21013915010985,8.90576738159293,8.62881801241324,8.56750247782409,8.28279225206292,0.0202277548519784,0.108099583935033
ENSG00000001460,7.43997520471932,7.53408671904769,7.69094505038631,7.48056699538243,7.61135123809581,7.34410306790432,7.44176975959453,7.53381575241265,0.418917955494007,0.718952741884057
ENSG00000001461,11.1480581128429,11.1570973692185,11.8684438548245,11.7744758081241,11.2579435705521,11.1036603377131,11.3930140356228,11.525507388683,0.883341746213553,0.964241812299829
ENSG00000001497,9.02689698321756,9.08397596658175,9.07779380296864,9.06384807132815,9.13312309695973,9.13661433291988,9.06833752627319,9.01070117410868,0.979794142643728,0.994875768998927
ENSG00000001561,6.3013032560378,6.16152246075592,7.10336547727869,7.33911553191805,5.53720953876724,5.68239949202316,6.91134938702908,7.11592253861184,0.755424214097155,0.919365920784186
ENSG00000001617,9.12808871716933,8.93911471903504,9.45488549572726,9.25124707866932,9.24842170715555,9.05042737636837,9.32691169726201,9.2735822044324,0.148190897113798,0.410975183092352
